"","interstitial Cells","Proliferating","Neuron","Melanoma","Nephron","Distal Nephron","Neuron Progenitor","Podocyte","Muscle","Proximal Convoluted Tubule","Endothelial cell"
"control_isolated",0.640044651918003,0.120458696975847,0.0935660645423178,0.0307489344428658,0.0134970570326771,0.0561193423990258,0.0202963263649279,0.010148163182464,0.00395778364116095,0.0094377917596915,0.00172518774101888
"patient_isolated",0.547771650022358,0.104784617677746,0.0763153972276047,0.0743777015948726,0.0602176181249068,0.0642420629005813,0.0107318527351319,0.0503800864510359,0.00447160530630496,0.00491876583693546,0.00178864212252199
"patient_pooled_batch2",0.468368840461864,0.134168157423971,0.11318913644495,0.047162140185396,0.0146365262644332,0.0374044560091072,0.0818019190112213,0.0377297121483168,0.0557814278744511,0.00422832980972516,0.00552935436656367
"control_pooled_batch2",0.628062360801782,0.106904231625835,0.138084632516704,0.0133630289532294,0.0022271714922049,0.0111358574610245,0.0734966592427617,0,0.0267260579064588,0,0
"patient_pooled_batch1",0.525681492109039,0.140172166427547,0.0757532281205165,0.0563845050215208,0.0236728837876614,0.0374461979913917,0.0173601147776184,0.0856527977044476,0.00416068866571019,0.0149210903873745,0.0187948350071736
"control_pooled_batch1",0.650306748466258,0.196319018404908,0.0613496932515337,0.0306748466257669,0,0.0184049079754601,0.00613496932515337,0.0245398773006135,0.00613496932515337,0.00613496932515337,0
